Date,Open,High,Low,Close,Adj Close,Volume
2015-04-24,150.000000,154.139999,149.669998,153.889999,106.416595,35747130
2015-04-27,153.979996,155.179993,152.050003,152.050003,105.144226,22004600
2015-04-28,151.770004,153.139999,149.699997,152.789993,105.655930,25942650
2015-04-29,152.800003,154.990005,151.750000,152.500000,105.455406,32127150
2015-04-30,152.539993,154.199997,151.059998,153.500000,106.146912,28723340
2015-05-04,153.500000,153.500000,153.500000,153.500000,106.146912,0
2015-05-05,154.520004,158.699997,153.320007,156.330002,108.103889,33638700
2015-05-06,156.350006,156.389999,153.300003,155.250000,107.357048,29799390
2015-05-07,154.520004,154.589996,150.809998,152.100006,105.178802,29201660
2015-05-08,152.000000,155.649994,151.699997,155.520004,107.543755,22300590
2015-05-12,155.509995,157.000000,152.100006,154.199997,106.630974,35162100
2015-05-13,154.300003,154.500000,151.600006,151.740005,104.929855,23735400
2015-05-14,151.779999,153.679993,151.050003,151.800003,104.971352,19561270
2015-05-15,152.490005,154.100006,151.500000,152.979996,105.787323,20562190
2015-05-18,153.009995,154.279999,151.639999,151.899994,105.040497,17709240
2015-05-19,151.710007,152.399994,148.619995,149.850006,103.622902,25123260
2015-05-20,150.000000,150.000000,146.000000,146.350006,101.202614,20494720
2015-05-21,146.350006,148.279999,144.449997,147.160004,101.762749,23101260
2015-05-22,147.190002,149.850006,146.949997,148.800003,102.896812,22212800
2015-05-25,148.759995,148.800003,145.220001,146.690002,101.437729,16151440
2015-05-26,147.300003,147.850006,144.869995,145.250000,100.441948,22484990
2015-05-27,145.580002,147.699997,144.190002,147.660004,102.108498,27887970
2015-05-28,147.610001,149.500000,146.110001,146.110001,101.036652,27132390
2015-05-29,146.300003,148.899994,139.000000,139.000000,96.120010,55832110
2015-06-01,140.130005,141.789993,139.250000,139.399994,96.396606,30804210
2015-06-02,139.889999,141.750000,138.229996,140.750000,97.330154,36308440
2015-06-03,141.000000,144.000000,138.800003,140.710007,97.302490,41054380
2015-06-04,140.949997,142.389999,139.300003,140.199997,96.949821,28168930
2015-06-05,140.380005,142.520004,139.399994,142.399994,98.471138,26887100
2015-06-08,142.550003,144.490005,141.500000,142.660004,98.650948,22878860
2015-06-09,142.990005,146.399994,141.800003,146.169998,101.078140,24963390
2015-06-10,146.440002,147.699997,145.309998,145.600006,100.683990,27929430
2015-06-11,146.000000,146.000000,144.050003,145.399994,100.545670,18761033
2015-06-15,144.500000,145.800003,142.350006,144.949997,100.234482,30957727
2015-06-16,144.949997,147.149994,144.869995,146.000000,100.960587,22745150
2015-06-17,146.309998,148.479996,145.559998,147.600006,102.067017,24445210
2015-06-18,147.899994,149.169998,146.199997,147.149994,101.755821,26805520
2015-06-19,147.199997,148.699997,146.330002,147.149994,101.755821,26388000
2015-06-22,147.740005,149.199997,146.910004,148.500000,102.689362,19550650
2015-06-23,148.750000,149.389999,145.820007,146.250000,101.133461,25619260
2015-06-24,146.699997,148.110001,145.830002,146.679993,101.430817,18398930
